star_score,score_reple,writer_id,write_date
10,재미도 있고 감동도 있고!! 웃음 포인트가 많아 초등 4. 초등 2 아이들과 하께 보기 좋았습니다~ 음익도 신나고 영상도 좋네요~~,성훈성민맘(chie****),2020.01.23 14:59
10,머가 이리 재밌나스파이키드보는것 같네요재밌습니다 누가봐도 재밌을만한영화코믹하고 재기발랄함,spik****,2020.01.23 14:49
10,,원스 믿지 트둥 있둥(jkey****),2020.01.23 14:45
10,블루스카이의 새 나오는 영화는 믿을 수 있음 생각보다 배우 목소리연기도 괜찮았고 노래 짱 신나고 비둘기 귀엽고 스토리도 교훈적이었음 두번보구싶다,무명(non_****),2020.01.23 14:39
10,아이들과 재미있게 봤어요!,꿈과열정(rush****),2020.01.23 14:20
9,픽사가 애니의 수준을 모두 올려놓은 듯. 윌스미스와 톰홀랜드 캐릭터가 그대로 녹아있음.,hard(harm****),2020.01.23 13:54
10,"윌 스미스랑 톰 홀랜드 목소리 캐릭터랑 착붙... 연기 잘 하는 배우들은 더빙도 디테일이 살아있구나 느끼게 됨. 코미디한 요소들과 실사 같은 액션, 그리고 평화로운 무기로 세상을 구하는 따뜻한 월터의 발명품이 인상깊...",영(seyo****),2020.01.23 13:52
7,웃김+더러움+정신없음(액션),itgi****,2020.01.23 13:32
10,윌 스미스를 좋아한다면 꼭 보세요,bella(0eas****),2020.01.23 13:06
10,이제는 밖에 비둘기가 귀여워보일정도네...ㅋㅋ,미소지은(alth****),2020.01.23 12:26
10,이 영화에서 한국 드라마가 나올줄은 생각도 못했다 ㅋㅋ 개꿀잼,안시현(ash0****),2020.01.23 12:16
10,,kitt****,2020.01.23 12:04
10,,키트폴로(kitt****),2020.01.23 11:46
10,기발한 아이디어ㅎㅎ 꿀잼,앤드류(jzyw****),2020.01.22 13:50
10,,위즈님(wizw****),2020.01.22 13:00
10,진짜 너무 재밌어서 놀랐어요!! 솔직히 기대 별로 안했는데 너무 재밌었어요,ekql****,2020.01.23 11:09
10,겨울방학 온가족 영화로 추천ㅋㅋ,여행(hol1****),2020.01.23 10:30
10,2탄도 나오겠죠? 꼭 나와야해요!!,이재민(sata****),2020.01.23 09:43
8,아이들도 재밌지만 어른도 재밌네요.볼거리가 지루할틈이 없어요,shgh****,2020.01.23 02:56
10,트와이스 노래 실화임?,Asep Puyol(vude****),2020.01.23 02:26
9,애니다웠던 캐릭터들과 스토리여서 부담없이 볼 수 있었고 중간중간 웃음 포인트들이 빵빵 터진다 ㅋㅋ,이정수(frnr****),2020.01.23 02:25
9,어른도 아이들도 모두 재밋게 볼 수 있는 애니메이션:),권채경(fw6k****),2020.01.23 02:25
10,"몽글하고 다양하고 착한마음은, 특이하고 바보같은 것이 아니라 특별한 것이다. 개인적으로 겨울왕국2보다 짜릿하고 박진감넘치게 봤고 한 번 더 보고싶을 정도다!윌 스미스랑 애니메이션상의 캐릭터가 너무 찰떡이라 순간 애니...",띵스윗(o0o0****),2020.01.23 01:20
10,윌스미스와 톰홀란드의 시너지 이것으로 모든설명이 끝난다,vnzk****,2020.01.23 01:03
10,ㅋㅋㅋ 아주 재밌다 이정도면 명절영화로 딱이다,mana****,2020.01.23 00:13
10,조금 뻔한 감도 있었지만 적당히 트렌디하고 재밌었음ㅋㅋㅋ가볍게 보기 좋음,김모자(sona****),2020.01.22 23:49
10,진짜 재밌었음연령대 상관없이 보기 좋은듯,윤서(kimy****),2020.01.22 22:55
6,그냥 딱 흔한 양산용 애니메이션 영화. 어른은 큰 기대하지 말고 볼 것.,메가트롤(trol****),2020.01.22 22:53
10,말이 되는 최고의 병맛이에요.,이주영(juyo****),2020.01.22 22:14
10,기대하고봤는데도 재밌었음ㅋㅋㅋ 역시 디즈니. 연출과 디테일이 살아있어서 보는 재미가 있음,송월(fjdk****),2020.01.22 22:06
10,어른들이봐도재밌고 6세아이가봐도 재밌어요,mint****,2020.01.22 21:59
