star_score,score_reple,writer_id,write_date
10,시사회로 보고왔었는데 기대감이 낮기도 했지만 시간 가는줄 모르고 빵빵 웃으면서 봤음ㅋㅋㅋ 주제가 신선하기도 했고 권상우가 철부지남편 역할 진짜 잘하는 거 같음,이창동(lcd0****),2020.01.22 16:15
1,맨날 똑같은 스타일  지루하다,원비니(oneb****),2020.01.23 15:28
10,극한직업 이후로 눈물나게 웃으면서 본 영화는 오랜만이네요 ㅋㅋㅋ 정말 강추 합니다,ehow****,2020.01.23 01:27
1,잠깐 나왔지만 아역배우 이지원님 하드캐리하느라 고생많았어요ㅠㅠㅠㅠ,은행(eunh****),2020.01.23 00:39
10,저 진짜 이런거 처음 써보는데 진짜 너무 재밌어요,김지영(jy01****),2020.01.22 23:27
1,진짜 코미디도 아니고 액션도 아니고 이도저도 아닌 영화 관객들 웃겨보자고 계속 뭔가 보여주는데 개연성도 없고 그냥 군대에서 웃음벨 치는 것보다 더 웃음이 안나옴. 시간때우기 좋은영화? 낭비하기 좋은 영화일듯 배우가 ...,꿀돼지(wkdg****),2020.01.22 19:36
1,이딴걸 영화라고.. 권상우 영화 고르는 눈 왜이리 없냐 억지웃음코드 헛웃음도 안난다,명성황후(midh****),2020.01.22 18:27
6,초딩이나 어린이용입니다.,emma****,2020.01.22 12:54
1,오락영화로 가볍게 즐기시면 됩니다. 스토리 완성도 따지시는 분들은 별로일 수도,vnde****,2020.01.22 16:08
2,Hit 하고 싶네요 진심 억지 웃음코드 일부러 넣으신거. 맞죠?,jinpinku(luvh****),2020.01.22 22:45
1,여기 댓글들이 알바가 아니라면 심각한 조증 환자인듯 하네요. 어디서 웃어야 할지 많이 난감하네요,자연애(sady****),2020.01.22 16:01
1,하....진짜..댓글알바가있구나..,김해숙(rlaq****),2020.01.22 15:53
10,보는 내내 빵빵터짐 ㅋㅋㅋ,이경미(m3m1****),2020.01.23 16:10
10,어제  봤는데 완전  꿀잼이었네요~너무 재미있어요,임진숙(jins****),2020.01.23 16:09
10,완전 꿀잼!!!  또보고프다,aeky****,2020.01.23 16:09
10,역시 권상우 재미있네요!!,dudw****,2020.01.23 16:07
10,아. 간만에 터지는영화네요진짜 너무재밋어요 중간중간 생각지못하게빵빵극한직업재밋게봣다면이영화도 무조건 보세요!!내돈주고 내가보고느낀 후기입니당,정소연(asdz****),2020.01.23 16:07
10,라스에서 말한 배우들 애드리브가 뭔지 알겠어요 나름 반전?도 있고 어제 연휴노리고 개봉한 영화들중 평점보고 결정해서 봤는데 괜찮았습니다!! 예고편이 다라는 평도 좀 있으니 너무 기대하진 마시고! 적당히 즐기면서 본다...,ee96****,2020.01.23 16:07
10,꼭 영화관에서 봐야하는 시원한 꿀잼 영화,봄이일반(kwon****),2020.01.23 16:05
10,,MM(yjyj****),2020.01.23 15:30
9,,0102****,2020.01.23 15:08
10,정말 간만의 권상우 영화 재미지게 봤습니다너무 재미있고 감동도 있고배꼽이 빠지는 줄 알았습니다^^,봄이(1771****),2020.01.23 11:18
10,명절에 가족과 웃을수있는영화,우병찬(bcwo****),2020.01.23 10:58
10,허성태 멱살잡고 하드캐리함 ㅋㅋ 개웃김,코리아(scv0****),2020.01.23 10:50
10,명절엔 즐겁게~~~~,sss1212(tjrl****),2020.01.23 10:00
10,천국장이 계속 청국장으로 들리는 매직,하자(bshk****),2020.01.23 09:44
10,다큐 정치영화 빠들... 양심은 가지고 오세요.,아놔(neva****),2020.01.23 10:20
10,되게 많이 웃고 나왔는데 이거 진짜 꼭보셈 안보신분들 걔꿀잼,노트사용자(akim****),2020.01.23 14:54
10,그냥또보고싶다!!!,정현호(jhh0****),2020.01.23 02:56
8,살면서 본 영화 중에서 제일 많이 웃었던 것 같다. 참고로 웃음 별로 없음.,서재윤(evil****),2020.01.23 02:45
10,ㅈㄴ재밌다개꿀잼꼭보세요,기요미(lce1****),2020.01.23 02:12
8,일단 연령대가 10-30대가보면 재미있을거같고 어르신들은 조금 이해하시기 어려울수있어요. 개그코드나 스토리 이해가 젊은세대에 맞춘 영화입니다. 영화자체는 킬링타임용으로 무난한거같아요. 전체적인 소재는 참신했고 배우분...,꼬북(ryuc****),2020.01.23 00:15
10,믿고 보는 권상우 화이팅~,Edwards(rona****),2020.01.22 23:52
10,,예정(syz0****),2020.01.22 23:31
10,초반엔 솔직히 별론데 갈수륙 재밌음ㅋㅋㅋ,smileri(smil****),2020.01.23 15:25
10,배우 권상우가 연기 하나는 진짜 잘하네요 이번에 액션연기 진짜 최고였습니다,불멸의대준(rlae****),2020.01.23 14:16
10,주유소 습격사건을 우리나라 코미디 영화의 교과서라 가정한다면 극한직업은 그 2차 교육과정이고 히트맨은 그 교과서를 보고 제대로 공부하고 참고서까지 보며 그 과정을 보기 힘든 창의력을 활용해 응용하기까지 했다,옥수역(gyro****),2020.01.23 08:25
1,오전 평점에 속았다근데 오후 평점이 더 높네ㅋㅋㅋㅋ 알바냐,김우진(endo****),2020.01.23 02:49
1,별점 높아서 봤는데 개노잼.,rbal****,2020.01.22 19:30
10,재밌게 봤음 ㅋㅋㅋㅋ 배우들도 다 개성있게 나오고 연휴에 보기 딱 좋은듯 터지는 장면들이 많았음 ㅋㅋㅋ,지니(kyjj****),2020.01.22 15:30
2,무슨 영화에 대한 감상평이 “빵 터집니다” 이거 밖에 없네...,dd(vgb7****),2020.01.23 08:15
1,내가 도대체 뭘본거지??이딴걸 영화라고 만들었어?돈 졸라 아까워,DJ Lucky(rmsd****),2020.01.23 06:18
1,역대급 망작 백두산 피했다고 핵폭탄 맞았네돈줘도 안봅니다연기도 개못함,권기(yunk****),2020.01.23 04:01
10,가족들이랑 보러 갔는데 진짜 재밌게 보고 나왔당 코믹액션은 역사 권상우라는걸 다시한번 느끼게 된 영화 !! 진짜 개웃기다,권서현(bell****),2020.01.23 00:54
1,영화관에서 보지마요 말했어요 보지말라고! 영화관에서 돈 주고 보지말라고 분명히 말했아요!!! 효미더머니!!!,김현조(khyu****),2020.01.23 04:32
10,너무 재미있게 봤어요~특히 허성태 배우 연기 너무잘해~ 저만 그런것 아니죠?허배우 히트맨영화 살렸다고 생각하시면 추천 ^^,애브뉴준오한재호(han3****),2020.01.23 00:57
2,이런걸 영화 각본이라고 쓴거냐?영화에서의 코미디보다 영화를 요따구로 찍은게 더웃기네 ㅋㅋㅋ,중딩(shoc****),2020.01.22 11:38
2,스토리 개연성이 어디로??,뭉멍(y89s****),2020.01.22 21:48
5,걍 자꾸 작위적으로 웃길라하는데 재미가 없어서 실패함..스토리가 등산중임.. 차장 꽥꽥 대는거 듣기싫음 볼건 액션뿐..ㅠ,최은희(hoeu****),2020.01.22 16:43
10,오늘 히트맨하고 남산의부장들을 보았는데 솔직히 둘다재밌었고 히트맨의 코믹은 극한직업이랑비슷하다.,kdh(kdh5****),2020.01.22 16:14
2,휴...아오...휴,wlsd****,2020.01.22 13:04
5,코메디 영화 인데 안웃김,xkdl****,2020.01.22 10:29
1,이 영화에 투자 결정한 사람은 시나리오는 읽어나 봤을까? 회사 돈 몇십억 공중분해.,bonobo(shpa****),2020.01.23 08:30
1,억지스럽..평점보고 갔는데 완전 속았음.억울해서 첨으로 감상평 남깁니다. 평점에 속지마시라고,꿈을 찾아(kang****),2020.01.22 21:45
1,별로 별로 별로 별로 별로 별로..,1bsy****,2020.01.22 10:24
10,아무 기대 없이 보다가 깨알재미에 웃음 터짐 ㅋㅋ,dleh****,2020.01.23 16:07
10,,미니 엄마(bell****),2020.01.23 15:25
